Metro,Type,Month,Dimension,Measure,Value,YoY
National,Quick Facts,2018-07,U.S. Median Pay,U.S. Median Pay,"$52,267 ",2.20%
Atlanta,Quick Facts,2018-07,Metro Median Pay,Metro Median Pay,"$53,871 ",1.90%
Atlanta,Quick Facts,2018-07,U.S. Median Pay,U.S. Median Pay,"$52,267 ",2.20%
Atlanta,Quick Facts,2018-07,Job Openings,Job Openings,"140,834",24.70%
New York City,Quick Facts,2018-07,Metro Median Pay,Metro Median Pay,"$61,836 ",2.60%
New York City,Quick Facts,2018-07,U.S. Median Pay,U.S. Median Pay,"$52,267 ",2.20%
New York City,Quick Facts,2018-07,Job Openings,Job Openings,"331,990",11.60%
Los Angeles,Quick Facts,2018-07,Metro Median Pay,Metro Median Pay,"$60,781 ",2.60%
Los Angeles,Quick Facts,2018-07,U.S. Median Pay,U.S. Median Pay,"$52,267 ",2.20%
Los Angeles,Quick Facts,2018-07,Job Openings,Job Openings,"240,149",21.20%
Philadelphia,Quick Facts,2018-07,Metro Median Pay,Metro Median Pay,"$55,723 ",2.80%
Philadelphia,Quick Facts,2018-07,U.S. Median Pay,U.S. Median Pay,"$52,267 ",2.20%
Philadelphia,Quick Facts,2018-07,Job Openings,Job Openings,"128,502",9.80%
Houston,Quick Facts,2018-07,Metro Median Pay,Metro Median Pay,"$55,474 ",2.00%
Houston,Quick Facts,2018-07,U.S. Median Pay,U.S. Median Pay,"$52,267 ",2.20%
Houston,Quick Facts,2018-07,Job Openings,Job Openings,"106,951",11.40%
Seattle,Quick Facts,2018-07,Metro Median Pay,Metro Median Pay,"$61,415 ",2.10%
Seattle,Quick Facts,2018-07,U.S. Median Pay,U.S. Median Pay,"$52,267 ",2.20%
Seattle,Quick Facts,2018-07,Job Openings,Job Openings,"121,889",15.10%
San Francisco,Quick Facts,2018-07,Metro Median Pay,Metro Median Pay,"$69,404 ",2.70%
San Francisco,Quick Facts,2018-07,U.S. Median Pay,U.S. Median Pay,"$52,267 ",2.20%
San Francisco,Quick Facts,2018-07,Job Openings,Job Openings,"158,910",22.40%
Chicago,Quick Facts,2018-07,Metro Median Pay,Metro Median Pay,"$56,636 ",2.60%
Chicago,Quick Facts,2018-07,U.S. Median Pay,U.S. Median Pay,"$52,267 ",2.20%
Chicago,Quick Facts,2018-07,Job Openings,Job Openings,"225,448",20.50%
Boston,Quick Facts,2018-07,Metro Median Pay,Metro Median Pay,"$59,698 ",2.00%
Boston,Quick Facts,2018-07,U.S. Median Pay,U.S. Median Pay,"$52,267 ",2.20%
