Metro,Type,Month,Dimension,Measure,Value,YoY
National,Quick Facts,2018-08,U.S. Median Pay,U.S. Median Pay,"$52,461 ",2.40%
Atlanta,Quick Facts,2018-08,Metro Median Pay,Metro Median Pay,"$54,237 ",2.40%
Atlanta,Quick Facts,2018-08,U.S. Median Pay,U.S. Median Pay,"$52,461 ",2.40%
Atlanta,Quick Facts,2018-08,Job Openings,Job Openings,"152,064",39.10%
New York City,Quick Facts,2018-08,Metro Median Pay,Metro Median Pay,"$62,338 ",2.50%
New York City,Quick Facts,2018-08,U.S. Median Pay,U.S. Median Pay,"$52,461 ",2.40%
New York City,Quick Facts,2018-08,Job Openings,Job Openings,"388,281",35.30%
Los Angeles,Quick Facts,2018-08,Metro Median Pay,Metro Median Pay,"$61,137 ",2.60%
Los Angeles,Quick Facts,2018-08,U.S. Median Pay,U.S. Median Pay,"$52,461 ",2.40%
Los Angeles,Quick Facts,2018-08,Job Openings,Job Openings,"253,315",28.20%
Philadelphia,Quick Facts,2018-08,Metro Median Pay,Metro Median Pay,"$55,859 ",2.50%
Philadelphia,Quick Facts,2018-08,U.S. Median Pay,U.S. Median Pay,"$52,461 ",2.40%
Philadelphia,Quick Facts,2018-08,Job Openings,Job Openings,"158,424",48.50%
Houston,Quick Facts,2018-08,Metro Median Pay,Metro Median Pay,"$55,481 ",1.60%
Houston,Quick Facts,2018-08,U.S. Median Pay,U.S. Median Pay,"$52,461 ",2.40%
Houston,Quick Facts,2018-08,Job Openings,Job Openings,"108,611",18.60%
Seattle,Quick Facts,2018-08,Metro Median Pay,Metro Median Pay,"$61,929 ",2.30%
Seattle,Quick Facts,2018-08,U.S. Median Pay,U.S. Median Pay,"$52,461 ",2.40%
Seattle,Quick Facts,2018-08,Job Openings,Job Openings,"134,821",27.20%
San Francisco,Quick Facts,2018-08,Metro Median Pay,Metro Median Pay,"$69,887 ",3.20%
San Francisco,Quick Facts,2018-08,U.S. Median Pay,U.S. Median Pay,"$52,461 ",2.40%
San Francisco,Quick Facts,2018-08,Job Openings,Job Openings,"175,979",34.80%
Chicago,Quick Facts,2018-08,Metro Median Pay,Metro Median Pay,"$56,636 ",2.30%
Chicago,Quick Facts,2018-08,U.S. Median Pay,U.S. Median Pay,"$52,461 ",2.40%
Chicago,Quick Facts,2018-08,Job Openings,Job Openings,"259,036",51.20%
Boston,Quick Facts,2018-08,Metro Median Pay,Metro Median Pay,"$59,712 ",1.70%
Boston,Quick Facts,2018-08,U.S. Median Pay,U.S. Median Pay,"$52,461 ",2.40%
Boston,Quick Facts,2018-08,Job Openings,Job Openings,"206,840",59.50%
Washington DC,Quick Facts,2018-08,Metro Median Pay,Metro Median Pay,"$59,990 ",1.30%
Washington DC,Quick Facts,2018-08,U.S. Median Pay,U.S. Median Pay,"$52,461 ",2.40%
Washington DC,Quick Facts,2018-08,Job Openings,Job Openings,"218,796",33.90%
National,Job Title,2018-08,Software Engineer,Median Base Pay,"$87,317 ",2.70%
National,Job Title,2018-08,Programmer Analyst,Median Base Pay,"$69,569 ",4.30%
National,Job Title,2018-08,Consultant,Median Base Pay,"$73,508 ",1.60%
National,Job Title,2018-08,Project Manager,Median Base Pay,"$71,404 ",-1.90%
National,Job Title,2018-08,Store Manager,Median Base Pay,"$49,664 ",2.50%
National,Job Title,2018-08,Business Analyst,Median Base Pay,"$65,804 ",2.30%
National,Job Title,2018-08,Cashier,Median Base Pay,"$28,085 ",5.10%
National,Job Title,2018-08,Financial Analyst,Median Base Pay,"$64,249 ",3.20%
National,Job Title,2018-08,Administrative Assistant,Median Base Pay,"$40,873 ",2.50%
National,Job Title,2018-08,Accountant,Median Base Pay,"$56,982 ",3.00%
National,Job Title,2018-08,Sales Representative,Median Base Pay,"$48,185 ",1.50%
National,Job Title,2018-08,Professor,Median Base Pay,"$86,115 ",-0.30%
National,Job Title,2018-08,Registered Nurse,Median Base Pay,"$66,430 ",1.90%
National,Job Title,2018-08,Marketing Manager,Median Base Pay,"$68,138 ",1.50%
National,Job Title,2018-08,Operations Manager,Median Base Pay,"$68,294 ",0.50%
National,Job Title,2018-08,Product Manager,Median Base Pay,"$93,332 ",3.10%
National,Job Title,2018-08,Sales Manager,Median Base Pay,"$61,437 ",2.10%
National,Job Title,2018-08,Teacher,Median Base Pay,"$47,060 ",2.80%
National,Job Title,2018-08,Bank Teller,Median Base Pay,"$31,007 ",8.00%
National,Job Title,2018-08,Customer Service Manager,Median Base Pay,"$55,856 ",3.90%
National,Job Title,2018-08,Physical Therapist,Median Base Pay,"$73,227 ",-1.50%
National,Job Title,2018-08,Mechanical Engineer,Median Base Pay,"$75,546 ",2.50%
National,Job Title,2018-08,Recruiter,Median Base Pay,"$51,217 ",0.10%
National,Job Title,2018-08,Design Engineer,Median Base Pay,"$72,828 ",3.80%
National,Job Title,2018-08,Pharmacy Technician,Median Base Pay,"$32,182 ",5.80%
National,Job Title,2018-08,Graphic Designer,Median Base Pay,"$45,669 ",3.10%
National,Job Title,2018-08,Web Developer,Median Base Pay,"$66,239 ",3.50%
National,Job Title,2018-08,Business Development Manager,Median Base Pay,"$71,681 ",3.50%
National,Job Title,2018-08,Data Scientist,Median Base Pay,"$97,364 ",1.30%
National,Job Title,2018-08,Buyer,Median Base Pay,"$58,603 ",2.50%
National,Job Title,2018-08,Data Analyst,Median Base Pay,"$59,984 ",1.60%
National,Job Title,2018-08,Electrical Engineer,Median Base Pay,"$77,998 ",1.40%
National,Job Title,2018-08,Attorney,Median Base Pay,"$99,420 ",4.20%
National,Job Title,2018-08,Human Resources Manager,Median Base Pay,"$71,600 ",4.70%
National,Job Title,2018-08,Technician,Median Base Pay,"$46,060 ",1.80%
National,Job Title,2018-08,Restaurant Cook,Median Base Pay,"$29,073 ",4.40%
National,Job Title,2018-08,Production Manager,Median Base Pay,"$66,833 ",3.00%
National,Job Title,2018-08,Manufacturing Engineer,Median Base Pay,"$72,928 ",1.50%
National,Job Title,2018-08,Retail Key Holder,Median Base Pay,"$30,122 ",3.80%
National,Job Title,2018-08,Paralegal,Median Base Pay,"$48,591 ",1.30%
National,Job Title,2018-08,Java Developer,Median Base Pay,"$76,583 ",3.30%
National,Job Title,2018-08,Warehouse Associate,Median Base Pay,"$39,964 ",-2.30%
National,Job Title,2018-08,Property Manager,Median Base Pay,"$53,066 ",6.10%
National,Job Title,2018-08,Producer,Median Base Pay,"$50,684 ",-1.10%
National,Job Title,2018-08,Quality Engineer,Median Base Pay,"$73,667 ",2.30%
National,Job Title,2018-08,Operations Analyst,Median Base Pay,"$55,913 ",3.60%
National,Job Title,2018-08,Medical Assistant,Median Base Pay,"$33,408 ",3.70%
National,Job Title,2018-08,Tax Manager,Median Base Pay,"$91,679 ",1.40%
National,Job Title,2018-08,Technical Editor,Median Base Pay,"$52,900 ",2.40%
National,Job Title,2018-08,Truck Driver,Median Base Pay,"$54,270 ",4.30%
National,Job Title,2018-08,Insurance Agent,Median Base Pay,"$40,073 ",-4.70%
National,Job Title,2018-08,Medical Technologist,Median Base Pay,"$54,606 ",2.00%
National,Job Title,2018-08,Field Engineer,Median Base Pay,"$69,357 ",0.40%
National,Job Title,2018-08,Machine Operator,Median Base Pay,"$38,860 ",0.80%
National,Job Title,2018-08,Communications Manager,Median Base Pay,"$67,776 ",-0.50%
National,Job Title,2018-08,Construction Laborer,Median Base Pay,"$40,702 ",0.70%
National,Job Title,2018-08,Emergency Medical Technician,Median Base Pay,"$35,246 ",4.60%
National,Job Title,2018-08,Web Designer,Median Base Pay,"$53,943 ",1.60%
National,Job Title,2018-08,Maintenance Worker,Median Base Pay,"$42,487 ",7.50%
National,Job Title,2018-08,Barista,Median Base Pay,"$24,960 ",4.80%
National,Job Title,2018-08,Bartender,Median Base Pay,"$34,224 ",6.50%
